"table_name","column_name","data_type","is_nullable"
"alembic_version","version_num","character varying(32)",False
"audit_logs","id","uuid",False
"audit_logs","timestamp","timestamp without time zone",True
"audit_logs","user_id","uuid",True
"audit_logs","entity_name","character varying",False
"audit_logs","entity_id","uuid",False
"audit_logs","action","character varying",False
"audit_logs","changes","jsonb",True
"budget_items","id","uuid",False
"budget_items","name","character varying",False
"budget_items","category","character varying",False
"budget_items","is_active","boolean",True
"clusters","id","uuid",False
"clusters","name","character varying",False
"clusters","head_id","uuid",True
"day_type_rules","id","uuid",False
"day_type_rules","day_type","character varying",False
"day_type_rules","allowed_category","character varying",False
"direction_budget_items","id","uuid",False
"direction_budget_items","direction_id","uuid",False
"direction_budget_items","budget_item_id","uuid",False
"directions","id","uuid",False
"directions","name","character varying",False
"directions","parent_id","uuid",True
"organizations","id","uuid",False
"organizations","name","character varying",False
"organizations","payment_group_id","uuid",False
"organizations","inn","character varying(12)",True
"organizations","cluster_id","uuid",True
"organizations","director_id","uuid",True
"payment_calendar","id","uuid",False
"payment_calendar","date","date",False
"payment_calendar","payment_group_id","uuid",False
"payment_calendar","day_type","character varying",False
"payment_groups","id","uuid",False
"payment_groups","name","character varying",False
"payment_groups","description","character varying",True
"payment_requests","id","uuid",False
"payment_requests","amount","double precision",False
"payment_requests","description","character varying",False
"payment_requests","created_at","timestamp without time zone",True
"payment_requests","payment_date","date",True
"payment_requests","creator_id","uuid",False
"payment_requests","file_path","character varying",True
"payment_requests","rejection_reason","character varying",True
"payment_requests","organization_id","uuid",False
"payment_requests","direction_id","uuid",False
"payment_requests","budget_item_id","uuid",False
"payment_requests","counterparty","character varying",False
"payment_requests","contract_status","boolean",True
"payment_requests","feo_note","character varying",True
"payment_requests","special_order","boolean",True
"payment_requests","priority","character varying",True
"payment_requests","approval_status","character varying",True
"payment_requests","payment_status","character varying",True
"permissions","id","uuid",False
"permissions","name","character varying",False
"permissions","label","character varying",False
"permissions","category","character varying",False
"role_permissions","role_id","uuid",False
"role_permissions","permission_id","uuid",False
"roles","id","uuid",False
"roles","name","character varying",False
"roles","label","character varying",False
"roles","color","character varying",True
"roles","is_superadmin","boolean",True
"substitutions","id","uuid",False
"substitutions","absent_user_id","uuid",False
"substitutions","substitute_user_id","uuid",False
"substitutions","start_date","timestamp without time zone",False
"substitutions","end_date","timestamp without time zone",False
"substitutions","is_active","boolean",True
"substitutions","created_at","timestamp without time zone",True
"users","id","uuid",False
"users","ad_login","character varying",False
"users","full_name","character varying",False
"users","hashed_password","character varying",False
"users","is_active","boolean",True
"users","role_id","uuid",True
"users","direction_id","uuid",True
"weekly_templates","id","uuid",False
"weekly_templates","payment_group_id","uuid",False
"weekly_templates","day_of_week","integer",False
"weekly_templates","day_type","character varying",False
